utterance,ctc_viterbi_encoding_ms,ctc_viterbi_phone_region_and_scoring_ms,ctc_viterbi_stress_ms,ctc_viterbi_downstream_total_ms,ctc_viterbi_scored_phones,ctc_viterbi_scored_polysyllabic_words,mfa_encoding_ms,mfa_phone_region_and_scoring_ms,mfa_stress_ms,mfa_downstream_total_ms,mfa_scored_phones,mfa_scored_polysyllabic_words
000920010,46.122791012749076,2.033083001151681,0.0007920025382190943,48.156875011045486,11,0,45.80416702083312,0.1495409815106541,0.00045797787606716156,45.954582979902625,11,0
000920025,52.92079201899469,2.659916994161904,0.0004169996827840805,55.5814580002334,13,0,52.59029200533405,0.15504201292060316,0.000500003807246685,52.74608399486169,13,0
000920040,53.31899999873713,2.6058750227093697,0.0005829788278788328,55.92600000090897,13,0,52.82412501401268,0.15374997747130692,0.0007499766070395708,52.97883300227113,13,0
000920051,45.70074999355711,1.7844999965745956,0.0004580069798976183,47.486209019552916,9,0,45.794458012096584,0.11479202657938004,0.0004999747034162283,45.910124987130985,9,0
000920055,45.81395801506005,2.5043330097105354,0.0006250047590583563,48.31937499693595,10,0,45.867125008953735,0.13987498823553324,0.0005420006345957518,46.00783297792077,10,0
000920074,44.93874998297542,2.276625018566847,73.64062499254942,120.85649999789894,14,2,45.4276250093244,0.1559169904794544,72.88049999624491,118.46458300715312,14,2
000920094,55.77433400321752,3.5572499909903854,0.0004580069798976183,59.33249997906387,16,0,55.93566698371433,0.1863329962361604,0.0005409820005297661,56.12312498851679,16,0
000920099,52.236582996556535,3.5700000007636845,0.0006250047590583563,55.807666009059176,18,0,52.669083001092076,0.22704098955728114,0.0005410111043602228,52.89708398049697,18,0
000920104,64.29050001315773,2.9367499810177833,0.0005830079317092896,67.22858300781809,13,0,60.845250001875684,0.16133300960063934,0.0006250047590583563,61.007666983641684,13,0
000920122,62.187083007302135,2.826875017490238,0.00045797787606716156,65.01462499727495,12,0,62.24983400898054,0.14712498523294926,0.000667001586407423,62.39795798319392,12,0
000920126,60.25025001144968,3.4087499952875078,0.000500003807246685,63.6599579884205,14,0,63.00537500646897,0.16575001063756645,0.000500003807246685,63.171832996886224,14,0
000920129,52.7542500058189,3.5610000195447356,72.83850002568215,129.15424999664538,19,1,52.89562500547618,0.21495801047421992,45.33508300664835,98.44641701783985,19,1
000920134,44.85504201147705,1.7608749913051724,0.00045899651013314724,46.61679099081084,11,0,46.43037499045022,0.149500003317371,0.0007089984137564898,46.58104199916124,11,0
000920136,56.10937500023283,3.414875012822449,0.0005420006345957518,59.525332995690405,14,0,55.933124996954575,0.1757080026436597,0.0005420006345957518,56.10966702806763,14,0
000920149,63.77974999486469,4.81020801817067,0.0004580069798976183,68.59075001557358,19,0,64.14304100326262,0.23674999829381704,0.0004999747034162283,64.38075000187382,19,0
000920167,52.22329200478271,2.3154160007834435,0.00037497375160455704,54.53950000810437,12,0,52.24537497269921,0.1502920058555901,0.0006250047590583563,52.396582992514595,12,0
000920173,38.088291010353714,1.0983329848386347,63.59291699482128,102.77995798969641,8,1,37.953333026962355,0.09479199070483446,49.15141698438674,87.20033400459215,8,1
000930005,44.94074999820441,1.742041000397876,43.45429199747741,90.1377499976661,11,1,45.01704199356027,0.13162498362362385,53.54533300851472,98.69450001860969,11,1
000930014,53.86712498147972,2.712790999794379,0.0006250047590583563,56.58104197937064,13,0,54.47458301205188,0.17462499090470374,0.0007500057108700275,54.650292004225776,13,0
