utterance,speaker,wall_ms,stage_preparation_ms,stage_ctc_encoding_ms,stage_ctc_viterbi_ms,stage_phone_scoring_ms,stage_total_ms
014200342,1420,63.07616701815277,0.192,56.226,4.303,0.691,61.432
014200353,1420,72.3869169887621,0.214,64.227,6.168,0.771,71.402
014200357,1420,51.60104201058857,0.19,47.7,2.288,0.455,50.651
014220001,1422,81.39674999983981,0.204,74.984,5.127,0.634,80.969
014220003,1422,93.5930410050787,0.264,85.964,5.741,0.573,92.566
014220021,1422,71.18108301074244,0.218,66.003,3.432,0.489,70.164
014220027,1422,80.15112500288524,0.236,73.804,4.565,0.531,79.158
014220038,1422,44.57420902326703,0.143,42.773,0.994,0.256,44.193
014220044,1422,62.0125419809483,0.17,58.497,2.397,0.395,61.479
014220048,1422,89.85937500256114,0.238,80.715,7.543,0.863,89.386
014220058,1422,73.52437500958331,0.201,68.239,4.085,0.501,73.048
014220066,1422,71.22962499852292,0.214,66.163,3.188,0.449,70.038
014220068,1422,80.75012499466538,0.224,75.655,3.5,0.411,79.812
014220070,1422,80.38720799959265,0.225,74.617,4.628,0.442,79.932
014220081,1422,63.62991698551923,0.206,58.943,3.083,0.441,62.697
014220087,1422,79.77466701413505,0.224,74.294,3.695,0.535,78.772
014220102,1422,81.27512500504963,0.244,74.823,4.18,0.468,79.737
014220115,1422,83.06516701122746,0.304,75.911,5.327,0.551,82.117
014220140,1422,81.8963750207331,0.23,74.972,5.114,0.574,80.912
014220142,1422,74.46158298989758,0.227,68.191,4.517,0.594,73.552
014220159,1422,57.772250002017245,0.168,54.84,1.905,0.293,57.228
014220160,1422,62.532707990612835,0.227,58.928,2.007,0.309,61.492
014220167,1422,62.56895902333781,0.228,58.988,2.045,0.376,61.66
014650011,1465,71.43812501453795,0.218,65.697,3.978,0.561,70.475
014650023,1465,106.65508298552595,0.278,97.036,7.555,0.67,105.559
014650032,1465,61.5598339936696,0.172,57.387,2.685,0.413,60.678
